Id	Label	Color
1	Sam Houston St.	13
2	E. Washington	6
3	Abil Chr.	13
4	Georgia State	10
5	Texas A&M	10
6	South Carolina	10
7	E. Illinois	5
8	Minnesota	12
9	Presbyterian	1
10	Northern Illinois	12
11	Missouri St.	6
12	Northwestern St.	13
13	Bryant	8
14	Stony Brook	8
15	Wake Forest	12
16	La.-Monroe	10
17	Chattanooga	1
18	C. Michigan	12
19	Howard	3
20	Akron	12
21	Charlotte	1
22	Campbell	2
23	Reinhardt	1
24	Mercer	1
25	E. Kentucky	5
26	Robert Morris	8
27	Point U	1
28	Charleston So.	1
29	Missouri Baptist	2
30	SE Missouri St.	5
31	Idaho State	6
32	Utah	11
33	Valparaiso	2
34	W. Illinois	6
35	Boise St.	11
36	Ole Miss	10
37	Kentucky Chr.	5
38	Tenn. Tech	5
39	Taylor	2
40	S. Illinois	6
41	Tulane	12
42	Tulsa	12
43	Cal-Poly	6
44	New Mexico St.	10
45	Union College (KY)	5
46	Murray St.	5
47	North Dakota	6
48	San Jose St.	11
49	Rutgers	12
50	Washington St.	11
51	Weber St.	6
52	Arizona St.	11
53	Temple	12
54	Vanderbilt	10
55	BYU	11
56	Connecticut	12
57	Villanova	8
58	Syracuse	12
59	Jacksonville St.	5
60	Michigan St.	12
61	Bowling Green	12
62	W. Kentucky	10
63	Colorado St.	11
64	Colorado	11
65	Texas-San Antonio	9
66	Houston	12
67	UNLV	11
68	Arizona	11
69	Penn St.	12
70	UCF	12
71	UCLA	11
72	Virginia	12
73	Delaware	8
74	Pittsburgh	12
75	W. Michigan	12
76	Purdue	12
77	Wagner	8
78	Georgetown	7
79	N. Iowa	6
80	Iowa	12
81	Ohio St.	12
82	Navy	12
83	Troy	10
84	UAB	10
85	Appalachian St.	10
86	Michigan	12
87	UT Martin	5
88	Kentucky	10
89	N. Dakota St.	6
90	Iowa St.	9
91	Youngstown St.	6
92	Illinois	12
93	Indiana St.	6
94	Indiana	12
95	Wofford	1
96	Georgia Tech	12
97	Ga. Southern	10
98	N. Carolina St.	12
99	Delaware St.	3
100	Monmouth	8
101	Colgate	7
102	Ball St.	12
103	Nicholls St.	13
104	Air Force	11
105	So. Utah	6
106	Nevada	11
107	Boston College	12
108	Massachusetts	12
109	California	11
110	Northwestern	12
111	FAU	10
112	Nebraska	12
113	Hampton	3
114	Old Dominion	10
115	South Dakota St.	6
116	Missouri	10
117	Marshall	10
118	Miami (Ohio)	12
119	James Madison	8
120	Maryland	12
121	Rice	10
122	Notre Dame	12
123	Duquesne	8
124	Buffalo	12
125	West Virginia	9
126	Alabama	10
127	UC-Davis	6
128	Stanford	11
129	Portland St.	6
130	Oregon St.	11
131	William & Mary	8
132	Virginia Tech	12
133	Arkansas	10
134	Auburn	10
135	Montana	6
136	Wyoming	11
137	Virginia-Lynchburg	4
138	Alcorn St.	4
139	Faith U.	4
140	Mississippi Valley St.	4
141	S.C. State	3
142	Benedict	3
143	Clemson	10
144	Georgia	10
145	Elon	8
146	Duke	12
147	VMI	1
148	Bucknell	7
